raw_name,canonical_name,entity_type,method,confidence,source_url,resolvedAt
enzostvs,enzostvs,STARTUP,unresolved,0.0,https://huggingface.co/enzostvs,2026-08-29T05:31:22.475814+00:00
open-llm-leaderboard,open-llm-leaderboard,STARTUP,unresolved,0.0,https://huggingface.co/open-llm-leaderboard,2026-08-29T05:31:22.476302+00:00
jbilcke-hf,Hugging Face,STARTUP,fuzzy,0.9,https://huggingface.co/jbilcke-hf,2026-08-29T05:31:22.477571+00:00
Kwai-Kolors,Kwai-Kolors,STARTUP,unresolved,0.0,https://huggingface.co/Kwai-Kolors,2026-08-29T05:31:22.477843+00:00
black-forest-labs,black-forest-labs,STARTUP,unresolved,0.0,https://huggingface.co/black-forest-labs,2026-08-29T05:31:22.478157+00:00
mteb,mteb,STARTUP,unresolved,0.0,https://huggingface.co/mteb,2026-08-29T05:31:22.478571+00:00
dalle-mini,dalle-mini,STARTUP,unresolved,0.0,https://huggingface.co/dalle-mini,2026-08-29T05:31:22.478982+00:00
AP123,AP123,STARTUP,unresolved,0.0,https://huggingface.co/AP123,2026-08-29T05:31:22.479278+00:00
black-forest-labs,black-forest-labs,STARTUP,unresolved,0.0,https://huggingface.co/black-forest-labs,2026-08-29T05:31:22.479609+00:00
facebook,facebook,STARTUP,unresolved,0.0,https://huggingface.co/facebook,2026-08-29T05:31:22.479844+00:00
lmarena-ai,lmarena-ai,STARTUP,unresolved,0.0,https://huggingface.co/lmarena-ai,2026-08-29T05:31:22.480094+00:00
microsoft,microsoft,STARTUP,unresolved,0.0,https://huggingface.co/microsoft,2026-08-29T05:31:22.480344+00:00
KingNish,KingNish,STARTUP,unresolved,0.0,https://huggingface.co/KingNish,2026-08-29T05:31:22.480575+00:00
nanotron,nanotron,STARTUP,unresolved,0.0,https://huggingface.co/nanotron,2026-08-29T05:31:22.480801+00:00
KlingTeam,KlingTeam,STARTUP,unresolved,0.0,https://huggingface.co/KlingTeam,2026-08-29T05:31:22.481067+00:00
mrfakename,mrfakename,STARTUP,unresolved,0.0,https://huggingface.co/mrfakename,2026-08-29T05:31:22.481302+00:00
InstantX,InstantX,STARTUP,unresolved,0.0,https://huggingface.co/InstantX,2026-08-29T05:31:22.481552+00:00
hexgrad,hexgrad,STARTUP,unresolved,0.0,https://huggingface.co/hexgrad,2026-08-29T05:31:22.481798+00:00
zerogpu-aoti,zerogpu-aoti,STARTUP,unresolved,0.0,https://huggingface.co/zerogpu-aoti,2026-08-29T05:31:22.482051+00:00
tencent,tencent,STARTUP,unresolved,0.0,https://huggingface.co/tencent,2026-08-29T05:31:22.482292+00:00
akhaliq,akhaliq,STARTUP,unresolved,0.0,https://huggingface.co/akhaliq,2026-08-29T05:31:22.482529+00:00
HuggingFaceTB,Hugging Face,STARTUP,fuzzy,0.917,https://huggingface.co/HuggingFaceTB,2026-08-29T05:31:22.482682+00:00
r3gm,r3gm,STARTUP,unresolved,0.0,https://huggingface.co/r3gm,2026-08-29T05:31:22.482962+00:00
