schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Hugging Face Space (wan555),https://huggingface.co/spaces/kulkas2pintu/wan555,kulkas2pintu,FREE,2026-08-29T05:31:23.955907+00:00
1.0,PRODUCT,Hugging Face Space (microduck-simulator),https://huggingface.co/spaces/pollen-robotics/microduck-simulator,pollen-robotics,FREE,2026-08-29T05:31:23.956131+00:00
1.0,PRODUCT,Hugging Face Space (Krea-2-Turbo_I2I),https://huggingface.co/spaces/mpasila/Krea-2-Turbo_I2I,mpasila,FREE,2026-08-29T05:31:23.956281+00:00
1.0,PRODUCT,Hugging Face Space (Qwen-Image-Edit-Rapid-AIO-Loras-Experimental-neo),https://huggingface.co/spaces/pnemrow/Qwen-Image-Edit-Rapid-AIO-Loras-Experimental-neo,pnemrow,FREE,2026-08-29T05:31:23.956432+00:00
1.0,PRODUCT,Hugging Face Space (Omni-videos-custom),https://huggingface.co/spaces/Saravutw/Omni-videos-custom,Saravutw,FREE,2026-08-29T05:31:23.956588+00:00
1.0,PRODUCT,Hugging Face Space (Wan_2.2_I2V_14B-Clean),https://huggingface.co/spaces/wank3r/Wan_2.2_I2V_14B-Clean,wank3r,FREE,2026-08-29T05:31:23.956722+00:00
1.0,PRODUCT,Hugging Face Space (MiniMax-Music3),https://huggingface.co/spaces/MiniMaxAI/MiniMax-Music3,xAI,FREE,2026-08-29T05:31:23.956836+00:00
1.0,PRODUCT,Hugging Face Space (rare-disease-real-kid-mva-hackathon-2026),https://huggingface.co/spaces/SageBio/rare-disease-real-kid-mva-hackathon-2026,SageBio,FREE,2026-08-29T05:31:23.956982+00:00
1.0,PRODUCT,Hugging Face Space (free-ai-detector),https://huggingface.co/spaces/Lynote/free-ai-detector,Lynote,FREE,2026-08-29T05:31:23.957127+00:00
1.0,PRODUCT,Hugging Face Space (sensenova-sensenova-u1-5-8b-mot),https://huggingface.co/spaces/hugging-apps/sensenova-sensenova-u1-5-8b-mot,hugging-apps,FREE,2026-08-29T05:31:23.957280+00:00
