schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Hugging Face Organization (enzostvs),https://huggingface.co/enzostvs,enzostvs,,2026-08-29T05:31:22.475896+00:00
1.0,STARTUP,Hugging Face Organization (open-llm-leaderboard),https://huggingface.co/open-llm-leaderboard,open-llm-leaderboard,,2026-08-29T05:31:22.476355+00:00
1.0,STARTUP,Hugging Face Organization (jbilcke-hf),https://huggingface.co/jbilcke-hf,Hugging Face,,2026-08-29T05:31:22.477593+00:00
1.0,STARTUP,Hugging Face Organization (Kwai-Kolors),https://huggingface.co/Kwai-Kolors,Kwai-Kolors,,2026-08-29T05:31:22.477852+00:00
1.0,STARTUP,Hugging Face Organization (black-forest-labs),https://huggingface.co/black-forest-labs,black-forest-labs,,2026-08-29T05:31:22.478165+00:00
1.0,STARTUP,Hugging Face Organization (mteb),https://huggingface.co/mteb,mteb,,2026-08-29T05:31:22.478605+00:00
1.0,STARTUP,Hugging Face Organization (dalle-mini),https://huggingface.co/dalle-mini,dalle-mini,,2026-08-29T05:31:22.479011+00:00
1.0,STARTUP,Hugging Face Organization (AP123),https://huggingface.co/AP123,AP123,,2026-08-29T05:31:22.479291+00:00
1.0,STARTUP,Hugging Face Organization (facebook),https://huggingface.co/facebook,facebook,,2026-08-29T05:31:22.479852+00:00
1.0,STARTUP,Hugging Face Organization (lmarena-ai),https://huggingface.co/lmarena-ai,lmarena-ai,,2026-08-29T05:31:22.480106+00:00
1.0,STARTUP,Hugging Face Organization (microsoft),https://huggingface.co/microsoft,microsoft,,2026-08-29T05:31:22.480351+00:00
1.0,STARTUP,Hugging Face Organization (KingNish),https://huggingface.co/KingNish,KingNish,,2026-08-29T05:31:22.480581+00:00
1.0,STARTUP,Hugging Face Organization (nanotron),https://huggingface.co/nanotron,nanotron,,2026-08-29T05:31:22.480807+00:00
1.0,STARTUP,Hugging Face Organization (KlingTeam),https://huggingface.co/KlingTeam,KlingTeam,,2026-08-29T05:31:22.481075+00:00
1.0,STARTUP,Hugging Face Organization (mrfakename),https://huggingface.co/mrfakename,mrfakename,,2026-08-29T05:31:22.481309+00:00
1.0,STARTUP,Hugging Face Organization (InstantX),https://huggingface.co/InstantX,InstantX,,2026-08-29T05:31:22.481566+00:00
1.0,STARTUP,Hugging Face Organization (hexgrad),https://huggingface.co/hexgrad,hexgrad,,2026-08-29T05:31:22.481807+00:00
1.0,STARTUP,Hugging Face Organization (zerogpu-aoti),https://huggingface.co/zerogpu-aoti,zerogpu-aoti,,2026-08-29T05:31:22.482058+00:00
1.0,STARTUP,Hugging Face Organization (tencent),https://huggingface.co/tencent,tencent,,2026-08-29T05:31:22.482300+00:00
1.0,STARTUP,Hugging Face Organization (akhaliq),https://huggingface.co/akhaliq,akhaliq,,2026-08-29T05:31:22.482536+00:00
1.0,STARTUP,Hugging Face Organization (r3gm),https://huggingface.co/r3gm,r3gm,,2026-08-29T05:31:22.482971+00:00
1.0,STARTUP,Hugging Face Organization (mukaist),https://huggingface.co/mukaist,mukaist,,2026-08-29T05:31:22.483212+00:00
1.0,STARTUP,Hugging Face Organization (pharmapsychotic),https://huggingface.co/pharmapsychotic,pharmapsychotic,,2026-08-29T05:31:22.483492+00:00
1.0,STARTUP,Hugging Face Organization (not-lain),https://huggingface.co/not-lain,not-lain,,2026-08-29T05:31:22.483737+00:00
1.0,STARTUP,Hugging Face Organization (sanchit-gandhi),https://huggingface.co/sanchit-gandhi,sanchit-gandhi,,2026-08-29T05:31:22.484224+00:00
1.0,STARTUP,Hugging Face Organization (openai),https://huggingface.co/openai,OpenAI,,2026-08-29T05:31:22.484238+00:00
1.0,STARTUP,Hugging Face Organization (HumanAIGC),https://huggingface.co/HumanAIGC,HumanAIGC,,2026-08-29T05:31:22.484485+00:00
1.0,STARTUP,Hugging Face Organization (coqui),https://huggingface.co/coqui,coqui,,2026-08-29T05:31:22.484750+00:00
1.0,STARTUP,Hugging Face Organization (prithivMLmods),https://huggingface.co/prithivMLmods,prithivMLmods,,2026-08-29T05:31:22.485000+00:00
1.0,STARTUP,Hugging Face Organization (tonyassi),https://huggingface.co/tonyassi,tonyassi,,2026-08-29T05:31:22.485233+00:00
1.0,STARTUP,Hugging Face Organization (multimodalart),https://huggingface.co/multimodalart,multimodalart,,2026-08-29T05:31:22.485482+00:00
1.0,STARTUP,Hugging Face Organization (fffiloni),https://huggingface.co/fffiloni,fffiloni,,2026-08-29T05:31:22.485708+00:00
1.0,STARTUP,Hugging Face Organization (selfit-camera),https://huggingface.co/selfit-camera,selfit-camera,,2026-08-29T05:31:22.485953+00:00
1.0,STARTUP,Hugging Face Organization (sczhou),https://huggingface.co/sczhou,sczhou,,2026-08-29T05:31:22.486177+00:00
1.0,STARTUP,Hugging Face Organization (suno),https://huggingface.co/suno,Suno,,2026-08-29T05:31:22.486187+00:00
1.0,STARTUP,Hugging Face Organization (AI4Editing),https://huggingface.co/AI4Editing,AI4Editing,,2026-08-29T05:31:22.486403+00:00
1.0,STARTUP,Hugging Face Organization (linoyts),https://huggingface.co/linoyts,linoyts,,2026-08-29T05:31:22.486817+00:00
1.0,STARTUP,Hugging Face Organization (Qwen),https://huggingface.co/Qwen,Qwen,,2026-08-29T05:31:22.487385+00:00
1.0,STARTUP,Hugging Face Organization (finegrain),https://huggingface.co/finegrain,finegrain,,2026-08-29T05:31:22.487593+00:00
1.0,STARTUP,Hugging Face Organization (Wan-AI),https://huggingface.co/Wan-AI,Wan-AI,,2026-08-29T05:31:22.487817+00:00
1.0,STARTUP,Hugging Face Organization (yisol),https://huggingface.co/yisol,yisol,,2026-08-29T05:31:22.488054+00:00
1.0,STARTUP,Hugging Face Organization (yanze),https://huggingface.co/yanze,yanze,,2026-08-29T05:31:22.488510+00:00
1.0,STARTUP,Hugging Face Organization (ggml-org),https://huggingface.co/ggml-org,ggml-org,,2026-08-29T05:31:22.488712+00:00
1.0,STARTUP,Hugging Face Organization (Gustavosta),https://huggingface.co/Gustavosta,Gustavosta,,2026-08-29T05:31:22.488913+00:00
1.0,STARTUP,Hugging Face Organization (stabilityai),https://huggingface.co/stabilityai,Stability AI,,2026-08-29T05:31:22.489159+00:00
1.0,STARTUP,Hugging Face Organization (mediasynthesismuseum),https://huggingface.co/mediasynthesismuseum,mediasynthesismuseum,,2026-08-29T05:31:22.489454+00:00
1.0,STARTUP,Hugging Face Organization (deepseek-ai),https://huggingface.co/deepseek-ai,deepseek-ai,,2026-08-29T05:31:22.489658+00:00
1.0,STARTUP,Hugging Face Organization (DontPlanToEnd),https://huggingface.co/DontPlanToEnd,DontPlanToEnd,,2026-08-29T05:31:22.489865+00:00
1.0,STARTUP,Hugging Face Organization (TencentARC),https://huggingface.co/TencentARC,TencentARC,,2026-08-29T05:31:22.490226+00:00
1.0,STARTUP,Hugging Face Organization (Tongyi-MAI),https://huggingface.co/Tongyi-MAI,Tongyi-MAI,,2026-08-29T05:31:22.490423+00:00
1.0,STARTUP,Hugging Face Organization (ehristoforu),https://huggingface.co/ehristoforu,ehristoforu,,2026-08-29T05:31:22.490623+00:00
1.0,STARTUP,Hugging Face Organization (nari-labs),https://huggingface.co/nari-labs,nari-labs,,2026-08-29T05:31:22.490828+00:00
1.0,STARTUP,Hugging Face Organization (fancyfeast),https://huggingface.co/fancyfeast,fancyfeast,,2026-08-29T05:31:22.491027+00:00
1.0,STARTUP,Hugging Face Organization (NihalGazi),https://huggingface.co/NihalGazi,NihalGazi,,2026-08-29T05:31:22.491225+00:00
1.0,STARTUP,Hugging Face Organization (ResembleAI),https://huggingface.co/ResembleAI,ResembleAI,,2026-08-29T05:31:22.491435+00:00
1.0,STARTUP,Hugging Face Organization (jasperai),https://huggingface.co/jasperai,Jasper AI,,2026-08-29T05:31:22.491852+00:00
1.0,STARTUP,Hugging Face Organization (ilcve21),https://huggingface.co/ilcve21,ilcve21,,2026-08-29T05:31:22.492413+00:00
1.0,STARTUP,Hugging Face Organization (Lightricks),https://huggingface.co/Lightricks,Lightricks,,2026-08-29T05:31:22.493512+00:00
1.0,STARTUP,Hugging Face Organization (kulkas2pintu),https://huggingface.co/kulkas2pintu,kulkas2pintu,,2026-08-29T05:31:22.493697+00:00
1.0,STARTUP,Hugging Face Organization (timbrooks),https://huggingface.co/timbrooks,timbrooks,,2026-08-29T05:31:22.493871+00:00
1.0,STARTUP,Hugging Face Organization (CohereLabs),https://huggingface.co/CohereLabs,Cohere,,2026-08-29T05:31:22.493999+00:00
1.0,STARTUP,Hugging Face Organization (bigcode),https://huggingface.co/bigcode,bigcode,,2026-08-29T05:31:22.494176+00:00
1.0,STARTUP,Hugging Face Organization (ysharma),https://huggingface.co/ysharma,ysharma,,2026-08-29T05:31:22.494347+00:00
1.0,STARTUP,Hugging Face Organization (DeepFloyd),https://huggingface.co/DeepFloyd,DeepFloyd,,2026-08-29T05:31:22.494511+00:00
1.0,STARTUP,Hugging Face Organization (ali-vilab),https://huggingface.co/ali-vilab,ali-vilab,,2026-08-29T05:31:22.495018+00:00
1.0,STARTUP,Hugging Face Organization (jamesliu1217),https://huggingface.co/jamesliu1217,jamesliu1217,,2026-08-29T05:31:22.495196+00:00
1.0,STARTUP,Hugging Face Organization (FrameAI4687),https://huggingface.co/FrameAI4687,FrameAI4687,,2026-08-29T05:31:22.495497+00:00
1.0,STARTUP,Hugging Face Organization (osanseviero),https://huggingface.co/osanseviero,osanseviero,,2026-08-29T05:31:22.495792+00:00
1.0,STARTUP,Hugging Face Organization (CompVis),https://huggingface.co/CompVis,CompVis,,2026-08-29T05:31:22.496042+00:00
1.0,STARTUP,Hugging Face Organization (vinthony),https://huggingface.co/vinthony,vinthony,,2026-08-29T05:31:22.496218+00:00
1.0,STARTUP,Hugging Face Organization (zcxu-eric),https://huggingface.co/zcxu-eric,zcxu-eric,,2026-08-29T05:31:22.496391+00:00
1.0,STARTUP,Hugging Face Organization (Asahina2K),https://huggingface.co/Asahina2K,Asahina2K,,2026-08-29T05:31:22.496838+00:00
